Row Labels,Average of sales,StdDev of sales2
1,21.98159912,8.468922441
2,58.57415115,20.09301526
3,36.64222344,13.17944096
4,22.01024096,8.403898167
5,18.35870756,7.265167117
6,58.50388828,20.17489758
7,58.53105148,20.14600221
8,76.95005476,26.13069693
9,51.38986857,17.79015753
10,73.22743702,24.82372539
11,69.65635268,23.74473185
12,69.63493976,23.73866252
13,84.31659365,28.31103095
14,58.68187295,20.07986
15,88.03077766,29.52285236
16,25.65607886,9.603270476
17,32.99485214,11.9676104
18,84.27579409,28.43062057
19,40.35553122,14.33264512
20,47.51593647,16.49048698
21,40.31708653,14.33800556
22,80.50224535,27.1181629
23,29.29786418,10.81954941
24,66.04463308,22.53155545
25,80.6864184,27.23881684
26,47.64408543,16.72391235
27,22.04972618,8.461640938
28,87.8813253,29.50178136
29,69.61883899,23.63563056
30,40.33702081,14.36333084
31,58.64430449,20.10470532
32,43.98176342,15.57455569
33,69.5609529,23.71834285
34,25.73576123,9.617909978
35,65.80180723,22.46198966
36,77.02891566,26.06743954
37,29.25837897,10.77154733
38,80.52190581,27.14179928
39,43.88340635,15.51154991
40,29.24939759,10.82295889
41,22.00213582,8.402470293
42,36.6881161,13.21511187
43,51.29435926,17.80100803
44,29.39819277,10.79773802
45,80.58417306,27.31840162
46,58.63986857,20.2208787
47,22.00334064,8.420102212
48,51.35284775,17.88191669
49,29.33532311,10.8747879
50,65.88220153,22.4160306
(blank),,
Grand Total,52.25028697,28.8011436
